date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
617,토,1935,2050,대한항공,1시간 15분,일반석,114900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1945,2055,에어서울,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
617,토,1950,2100,대한항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1950,2100,아시아나항공,1시간 10분,할인석,112900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1950,2100,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1950,2100,아시아나항공,1시간 10분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,1950,2100,대한항공,1시간 10분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,1955,2105,티웨이항공,1시간 10분,일반석,97800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
617,토,2000,2110,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2020,2130,아시아나항공,1시간 10분,할인석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2020,2130,대한항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,2020,2130,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2020,2130,아시아나항공,1시간 10분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2025,2130,이스타항공,1시간 05분,일반석,99800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
617,토,2030,2140,대한항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,2045,2155,티웨이항공,1시간 10분,일반석,97800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
617,토,2045,2155,아시아나항공,1시간 10분,할인석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2045,2155,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2050,2200,아시아나항공,1시간 10분,할인석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2050,2200,제주항공,1시간 10분,할인석,98800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2050,2200,제주항공,1시간 10분,일반석,99900,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
617,토,2050,2200,대한항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,2050,2200,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2050,2200,대한항공,1시간 10분,비즈니스석,174900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
617,토,2055,2205,아시아나항공,1시간 10분,할인석,97900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
617,토,2055,2205,아시아나항공,1시간 10분,일반석,117900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
