date,day,departure_time,arrival_time,airline,flight_time,seat_class,price,mark_url
616,금,1555,1705,이스타항공,1시간 10분,할인석,86800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1555,1705,이스타항공,1시간 10분,일반석,121800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1600,1710,아시아나항공,1시간 10분,할인석,116900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1600,1710,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1630,1740,대한항공,1시간 10분,일반석,131900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1635,1750,아시아나항공,1시간 15분,할인석,128900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1635,1750,아시아나항공,1시간 15분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1635,1750,아시아나항공,1시간 15분,비즈니스석,171900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1650,1805,제주항공,1시간 15분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1650,1805,제주항공,1시간 15분,일반석,121400,https://vertical.pstatic.net/vertical/static/flight/airlines/7C.png
616,금,1705,1815,대한항공,1시간 10분,할인석,96900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1705,1815,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1725,1835,티웨이항공,1시간 10분,할인석,116800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1725,1835,티웨이항공,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1735,1855,에어부산,1시간 20분,할인석,96520,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1735,1845,에어서울,1시간 10분,할인석,105800,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
616,금,1735,1855,에어부산,1시간 20분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1735,1845,에어서울,1시간 10분,일반석,121900,https://vertical.pstatic.net/vertical/static/flight/airlines/RS.png
616,금,1750,1900,아시아나항공,1시간 10분,할인석,104900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1750,1900,대한항공,1시간 10분,할인석,108900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1750,1900,아시아나항공,1시간 10분,일반석,134900,https://vertical.pstatic.net/vertical/static/flight/airlines/OZ.png
616,금,1750,1900,대한항공,1시간 10분,비즈니스석,191900,https://vertical.pstatic.net/vertical/static/flight/airlines/KE.png
616,금,1810,1920,이스타항공,1시간 10분,할인석,86800,https://vertical.pstatic.net/vertical/static/flight/airlines/ZE.png
616,금,1810,1920,에어부산,1시간 10분,할인석,96520,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1810,1920,티웨이항공,1시간 10분,할인석,110800,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
616,금,1810,1920,에어부산,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/BX.png
616,금,1810,1920,티웨이항공,1시간 10분,일반석,120900,https://vertical.pstatic.net/vertical/static/flight/airlines/TW.png
