rent_date,rent_day,return_date,return_day,car_name,oiltype,num_seat,price,reserve_avail,rent_period,img_url
602,금,604,일,TESLA MODEL 3 ,전기,5,495000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000005298&fileSn=0
602,금,604,일,GV70 ,전기,5,510000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842760&fileSn=0
602,금,604,일,THE K9 3.8 ,가솔린,5,570000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004382&fileSn=0
602,금,604,일,팰리세이드 4WD 8인승 ,디젤,8,627000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004660&fileSn=0
602,금,604,일,All New G80 ,전기,5,645000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842759&fileSn=0
602,금,604,일,GV80 4WD 7인승 ,디젤,7,760000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554979&fileSn=0
602,금,604,일,모닝 어반 ,가솔린,5,176000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045166&fileSn=0
602,금,604,일,스파크 ,가솔린,5,176000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000001864&fileSn=0
602,금,604,일,ALL NEW K3 ,가솔린,5,240000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003140&fileSn=0
602,금,604,일,아반떼 AD  F/L,가솔린,5,240000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004113&fileSn=0
602,금,604,일,쏘울 부스터 ,가솔린,5,260000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004378&fileSn=0
602,금,604,일,올 뉴 아반떼 ,가솔린,5,260000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045167&fileSn=0
602,금,604,일,더 뉴 코나 4WD ,가솔린,5,266000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565397&fileSn=0
602,금,604,일,코나 ,가솔린,5,266000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000002143&fileSn=0
602,금,604,일,니로 ,전기,5,289000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000027017&fileSn=0
602,금,604,일,디 올 뉴 코나 4WD ,가솔린,5,285000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000002308432&fileSn=0
602,금,604,일,베리 뉴 티볼리 ,가솔린,5,285000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004657&fileSn=0
602,금,604,일,셀토스 4WD ,디젤,5,285000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045171&fileSn=0
602,금,604,일,셀토스 4WD ,가솔린,5,285000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842689&fileSn=0
602,금,604,일,트레일 블레이저 2WD ,가솔린,5,285000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000566203&fileSn=0
602,금,604,일,INTERACTIVE K5 ,가솔린,5,323000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045176&fileSn=0
602,금,604,일,쏘나타 DN8 ,가솔린,5,323000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004379&fileSn=0
602,금,604,일,EV6 4WD ,전기,5,374000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001564747&fileSn=0
602,금,604,일,아이오닉 5 4WD ,전기,5,374000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842716&fileSn=0
602,금,604,일,토레스 4WD ,가솔린,5,380000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001609323&fileSn=0
602,금,604,일,더 마스터 쏘렌토 4WD 7인승 ,디젤,7,399000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004380&fileSn=0
602,금,604,일,싼타페 TM 4WD 7인승 ,디젤,7,399000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003151&fileSn=0
602,금,604,일,더 뉴 싼타페 4WD 7인승 ,디젤,7,418000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554978&fileSn=0
602,금,604,일,더 뉴 카니발 11인승 ,디젤,11,440000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003575&fileSn=0
602,금,604,일,더 뉴 카니발 9인승 ,디젤,9,440000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003139&fileSn=0
602,금,604,일,All New G80 2.5 ,가솔린,5,450000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554971&fileSn=0
602,금,604,일,제네시스 G80 3.3 ,가솔린,5,450000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000001877&fileSn=0
602,금,604,일,스타리아 11인승 ,디젤,11,460000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219252&fileSn=0
602,금,604,일,카니발 KA4 9인승 ,디젤,9,460000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554976&fileSn=0
602,금,604,일,GV60 4WD ,전기,5,476000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842718&fileSn=0
602,금,604,일,더 뉴 카니발 리무진 7인승 ,디젤,7,500000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000044030&fileSn=0
602,금,604,일,카니발 KA4 하이리무진  7인승,가솔린,7,684000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565395&fileSn=0
602,금,604,일,GV70 4WD ,디젤,5,665000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001210493&fileSn=0
602,금,604,일,G90 3.8 ,가솔린,5,735000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004103&fileSn=0
602,금,604,일,쏠라티  2.5 15인승,디젤,15,1100000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004426&fileSn=0
603,토,605,월,더 뉴 레이 ,가솔린,5,194000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003146&fileSn=0
603,토,605,월,캐스퍼 ,가솔린,4,220000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219244&fileSn=0
603,토,605,월,더 뉴 K3 ,가솔린,5,260000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565796&fileSn=0
603,토,605,월,XM3 1.4 ,가솔린,5,285000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045174&fileSn=0
603,토,605,월,아이오닉 5 4WD ,전기,5,374000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842716&fileSn=0
603,토,605,월,THE NEW G70 2.0 ,가솔린,5,380800,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001219247&fileSn=0
603,토,605,월,G70 SHOOTING BRAKE  2.0,가솔린,5,391000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001707217&fileSn=0
603,토,605,월,더 뉴 싼타페 4WD 7인승 ,디젤,7,418000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554978&fileSn=0
603,토,605,월,TESLA MODEL 3 ,전기,5,495000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000005298&fileSn=0
603,토,605,월,THE K9 3.8 ,가솔린,5,570000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004382&fileSn=0
603,토,605,월,팰리세이드 4WD 8인승 ,디젤,8,627000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004660&fileSn=0
603,토,605,월,All New G80 ,전기,5,645000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000001842759&fileSn=0
603,토,605,월,G90 3.8 ,가솔린,5,735000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004103&fileSn=0
603,토,605,월,GV80 4WD 7인승 ,디젤,7,760000,1,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000554979&fileSn=0
603,토,605,월,모닝 어반 ,가솔린,5,176000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045166&fileSn=0
603,토,605,월,스파크 ,가솔린,5,176000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000001864&fileSn=0
603,토,605,월,ALL NEW K3 ,가솔린,5,240000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003140&fileSn=0
603,토,605,월,아반떼 AD  F/L,가솔린,5,240000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004113&fileSn=0
603,토,605,월,쏘울 부스터 ,가솔린,5,260000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000004378&fileSn=0
603,토,605,월,올 뉴 아반떼 ,가솔린,5,260000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000045167&fileSn=0
603,토,605,월,더 뉴 코나 4WD ,가솔린,5,266000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000565397&fileSn=0
603,토,605,월,코나 ,가솔린,5,266000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000002143&fileSn=0
603,토,605,월,코나 ,전기,5,272000,0,2박 3일,https://www.lotterentacar.net/atch/getImage.do?atchFileId=FILE0000000000003682&fileSn=0
